company,industry,year,tier,ai_attributed,ai_evidence,ai_attribution,attribution_quote,source,role_title,soc_code,n_cut_role,aioe_score,aioe_quartile,routine_cognitive,social_interpersonal,physical_manual,creative_adaptive,education_level,annual_median_wage,wage_percentile,note
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Recruiting Coordinator,13-1071,6000,1.36005,Q4 (Highest),0.2388002454740718,0.309911015648972,0.1295642835225529,0.2167075790119668,4.466909090909091,72910.0,69.42392909896603,Recruiting org cut 50%; AI screens candidates
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Program Manager,11-3021,3000,1.059853,Q4 (Highest),0.2234188651969642,0.2683050234911456,0.1522949042284062,0.2344777737621973,4.309712789460764,171200.0,99.0768094534712,Management layers reduced; Gemini assists coordination
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Technical Writer,27-3042,1500,1.184001,Q4 (Highest),0.2551193095278389,0.2578270434929768,0.1659333220511084,0.2157725503469284,4.131977711319777,91670.0,82.05317577548006,Documentation increasingly AI-generated
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Data Analyst,15-2051,1500,,Unknown,,,,,,,,Junior analyst roles absorbed into AI workflows
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Customer Support Representative,43-4051,4000,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,Copilot deployed for tier-1 support; headcount not backfilled
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Marketing Coordinator,13-1161,1000,1.426757,Q4 (Highest),0.2457692604899157,0.2624603971872343,0.1232516807047368,0.2362259485356618,4.573057710750827,76950.0,72.41506646971935,Content and campaign coordination shifted to AI tools
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Sales Operations Specialist,41-3091,3000,,Unknown,,,,,,,,Dynamics 365 Copilot automates pipeline management
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Consulting Program Manager,13-1082,2000,,Unknown,,,,,,,,Project coordination roles consolidated
Microsoft Round 2,Technology,2025,3,True,Explicit,Explicit,aligning workforce to AI-driven growth priorities,Microsoft workforce announcement May 2025,Consulting Program Manager,13-1082,3000,,Unknown,,,,,,,,Further PM layer reduction as Copilot scales
Microsoft Round 2,Technology,2025,3,True,Explicit,Explicit,aligning workforce to AI-driven growth priorities,Microsoft workforce announcement May 2025,Technical Support Specialist,15-1232,3000,,Unknown,,,,,,,,AI handles increasing share of technical queries
Workday,Technology,2025,3,True,Explicit,Explicit,AI is changing the nature of work inside Workday too,Workday CEO memo February 2025,Customer Support Representative,43-4051,875,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,AI tools handling tier-1 and tier-2 support queries
Workday,Technology,2025,3,True,Explicit,Explicit,AI is changing the nature of work inside Workday too,Workday CEO memo February 2025,Product Operations Specialist,13-1082,875,,Unknown,,,,,,,,Operations roles consolidated via AI workflow automation
Chegg,Technology,2025,3,True,Explicit,Explicit,ChatGPT has had a significant impact on our business,Dan Rosensweig CEO earnings call 2025,Content Writer,27-3043,400,0.9879274,Q3,0.2199687248258541,0.2883476282992939,0.1440553475809126,0.245320570534995,3.9346181818181822,72270.0,69.05465288035451,AI generates tutoring content previously written by contractors
Chegg,Technology,2025,3,True,Explicit,Explicit,ChatGPT has had a significant impact on our business,Dan Rosensweig CEO earnings call 2025,Instructional Designer,25-9031,400,1.301855,Q4 (Highest),0.2311991869918699,0.2887630662020906,0.1432200929152148,0.2345383275261324,5.8719491687194925,74720.0,70.86410635155096,Curriculum design AI-assisted; roles not backfilled
Shopify,Technology,2023,2,True,Explicit,Explicit,AI can do many of the things we were hiring humans to do,Tobi Lutke CEO memo May 2023,Customer Support Representative,43-4051,800,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,AI handles merchant support queries
Shopify,Technology,2023,2,True,Explicit,Explicit,AI can do many of the things we were hiring humans to do,Tobi Lutke CEO memo May 2023,Recruiting Coordinator,13-1071,600,1.36005,Q4 (Highest),0.2388002454740718,0.309911015648972,0.1295642835225529,0.2167075790119668,4.466909090909091,72910.0,69.42392909896603,Hiring paused; AI tools reduce recruiter headcount needed
Shopify,Technology,2023,2,True,Explicit,Explicit,AI can do many of the things we were hiring humans to do,Tobi Lutke CEO memo May 2023,Marketing Analyst,13-1161,600,1.426757,Q4 (Highest),0.2457692604899157,0.2624603971872343,0.1232516807047368,0.2362259485356618,4.573057710750827,76950.0,72.41506646971935,Campaign analytics increasingly automated
IBM,Financial Services / Consulting,2023-2024,1,True,Explicit,Explicit,I could easily see 30% of that replaced by AI and automation over a five-year period,Arvind Krishna CEO Bloomberg interview May 2023,HR Specialist,13-1071,3000,1.36005,Q4 (Highest),0.2388002454740718,0.309911015648972,0.1295642835225529,0.2167075790119668,4.466909090909091,72910.0,69.42392909896603,CEO explicitly cited HR as primary AI replacement target
IBM,Financial Services / Consulting,2023-2024,1,True,Explicit,Explicit,I could easily see 30% of that replaced by AI and automation over a five-year period,Arvind Krishna CEO Bloomberg interview May 2023,Finance Operations Analyst,13-2011,2000,1.481956,Q4 (Highest),0.251275024739286,0.2827129481616807,0.1310801552865951,0.2192281342772322,,81680.0,77.65878877400296,Back-office finance automation via watsonx
IBM,Financial Services / Consulting,2023-2024,1,True,Explicit,Explicit,I could easily see 30% of that replaced by AI and automation over a five-year period,Arvind Krishna CEO Bloomberg interview May 2023,Administrative Assistant,43-6014,1500,1.099056,Q4 (Highest),0.2360938333037142,0.2882530655766838,0.1731828683134885,0.2057934956459925,2.7310094645828222,46290.0,26.73559822747415,Executive support reduced as AI handles scheduling
IBM,Financial Services / Consulting,2023-2024,1,True,Explicit,Explicit,I could easily see 30% of that replaced by AI and automation over a five-year period,Arvind Krishna CEO Bloomberg interview May 2023,Data Entry Operator,43-9021,1300,0.3108081,Q3,0.2522617980275491,0.254543972613905,0.1722226750346401,0.2120792240606406,2.4093090909090904,39850.0,15.36189069423929,Document processing automated; roles not backfilled
Goldman Sachs,Financial Services / Consulting,2023-2024,2,True,Implicit,Implicit,AI could substitute for 300 million full-time jobs,Goldman Sachs Research Report March 2023; concurrent headcount reduction,Junior Financial Analyst,13-2051,1600,1.380615,Q4 (Highest),,,,,,101350.0,87.44460856720828,Research report generation increasingly AI-assisted
Goldman Sachs,Financial Services / Consulting,2023-2024,2,True,Implicit,Implicit,AI could substitute for 300 million full-time jobs,Goldman Sachs Research Report March 2023; concurrent headcount reduction,Equity Research Associate,13-2051,1000,1.380615,Q4 (Highest),,,,,,101350.0,87.44460856720828,Associate-level research roles consolidated
Goldman Sachs,Financial Services / Consulting,2023-2024,2,True,Implicit,Implicit,AI could substitute for 300 million full-time jobs,Goldman Sachs Research Report March 2023; concurrent headcount reduction,Operations Analyst,13-1082,600,,Unknown,,,,,,,,Back-office operations streamlined
Citigroup,Financial Services / Consulting,2024,2,True,Implicit,Implicit,Transformation includes significant automation of compliance and reporting functions,Citigroup transformation program disclosures 2024,Compliance Officer,13-1041,2500,0.6981205,Q3,0.2403358105069282,0.2763583406506328,0.1640717023965048,0.2095924442635941,4.0941212121212125,78420.0,74.70457902511079,AI automated regulatory reporting and compliance monitoring
Citigroup,Financial Services / Consulting,2024,2,True,Implicit,Implicit,Transformation includes significant automation of compliance and reporting functions,Citigroup transformation program disclosures 2024,Bookkeeping and Accounting Clerk,43-3031,2500,1.039749,Q4 (Highest),0.250112582184995,0.274430334143925,0.1516707196253265,0.2043591822030082,2.7264,49210.0,36.3367799113737,Back-office financial processing automated
Citigroup,Financial Services / Consulting,2024,2,True,Implicit,Implicit,Transformation includes significant automation of compliance and reporting functions,Citigroup transformation program disclosures 2024,Customer Service Representative,43-4051,2000,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,AI chatbots handling retail banking queries
Klarna,Financial Services / Consulting,2025,3,True,Explicit,Explicit,Our AI assistant does the work of 700 customer service agents,Sebastian Siemiatkowski CEO public statement 2025,Customer Service Representative,43-4051,1200,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,CEO quantified substitution directly - most explicit AI replacement case documented
Intuit,Financial Services / Consulting,2025,3,True,Explicit,Explicit,We are removing roles where the work will be replaced by AI,Sasan Goodarzi CEO employee memo 2025,Customer Service Representative,43-4051,900,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,AI-driven tax and finance support replacing human agents
Intuit,Financial Services / Consulting,2025,3,True,Explicit,Explicit,We are removing roles where the work will be replaced by AI,Sasan Goodarzi CEO employee memo 2025,Finance Operations Analyst,13-2011,900,1.481956,Q4 (Highest),0.251275024739286,0.2827129481616807,0.1310801552865951,0.2192281342772322,,81680.0,77.65878877400296,Back-office finance automation via AI platform
Wayfair,Retail and E-Commerce,2024,2,True,Implicit,Implicit,Using AI and automation to do more with less,Wayfair earnings call Q1 2024,Customer Service Representative,43-4051,900,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,"AI tools handling returns, queries, and order management"
Wayfair,Retail and E-Commerce,2024,2,True,Implicit,Implicit,Using AI and automation to do more with less,Wayfair earnings call Q1 2024,Merchandising Analyst,13-1161,750,1.426757,Q4 (Highest),0.2457692604899157,0.2624603971872343,0.1232516807047368,0.2362259485356618,4.573057710750827,76950.0,72.41506646971935,AI-driven product placement and pricing optimization
Macy's,Retail and E-Commerce,2024,2,False,None,None,Restructuring to focus on go-forward strategy,Macy's restructuring announcement February 2024,Corporate Administrative Staff,43-6014,1500,1.099056,Q4 (Highest),0.2360938333037142,0.2882530655766838,0.1731828683134885,0.2057934956459925,2.7310094645828222,46290.0,26.73559822747415,Back-office consolidation - efficiency cited not AI explicitly
Macy's,Retail and E-Commerce,2024,2,False,None,None,Restructuring to focus on go-forward strategy,Macy's restructuring announcement February 2024,Marketing Coordinator,13-1161,850,1.426757,Q4 (Highest),0.2457692604899157,0.2624603971872343,0.1232516807047368,0.2362259485356618,4.573057710750827,76950.0,72.41506646971935,Corporate marketing layer reduced
UPS,Logistics and Transportation,2024,2,True,Implicit,Implicit,Automation and efficiency initiatives reducing management overhead,UPS Q1 2024 earnings and workforce announcement,Operations Manager,11-3051,5000,0.5086878,Q3,0.2180115505855824,0.2625917489243229,0.2071972573111525,0.2151354087572766,3.68335841034476,121440.0,93.16838995568686,AI route optimization reducing need for human operations managers
UPS,Logistics and Transportation,2024,2,True,Implicit,Implicit,Automation and efficiency initiatives reducing management overhead,UPS Q1 2024 earnings and workforce announcement,Logistics Analyst,13-1081,4000,1.297303,Q4 (Highest),0.2386129520689056,0.2709807133814878,0.1547645642514955,0.2220815647727554,4.396250428016036,80880.0,76.95716395864106,Predictive logistics AI replacing analyst functions
UPS,Logistics and Transportation,2024,2,True,Implicit,Implicit,Automation and efficiency initiatives reducing management overhead,UPS Q1 2024 earnings and workforce announcement,Administrative Assistant,43-6014,3000,1.099056,Q4 (Highest),0.2360938333037142,0.2882530655766838,0.1731828683134885,0.2057934956459925,2.7310094645828222,46290.0,26.73559822747415,Back-office administrative roles consolidated
FedEx,Logistics and Transportation,2023-2024,2,True,Implicit,Implicit,AI-driven network optimization reducing planning headcount,FedEx DRIVE program workforce disclosures 2023-2024,Logistics Analyst,13-1081,1000,1.297303,Q4 (Highest),0.2386129520689056,0.2709807133814878,0.1547645642514955,0.2220815647727554,4.396250428016036,80880.0,76.95716395864106,AI route and network planning reducing analyst headcount
FedEx,Logistics and Transportation,2023-2024,2,True,Implicit,Implicit,AI-driven network optimization reducing planning headcount,FedEx DRIVE program workforce disclosures 2023-2024,Operations Manager,11-3051,1000,0.5086878,Q3,0.2180115505855824,0.2625917489243229,0.2071972573111525,0.2151354087572766,3.68335841034476,121440.0,93.16838995568686,Management layers reduced via AI coordination tools
Sports Illustrated,Media and Publishing,2024,2,True,Explicit,Explicit,AI-generated content replacing human editorial staff,Sports Illustrated editorial cuts January 2024; AI bylines discovered,Writer and Author,27-3043,200,0.9879274,Q3,0.2199687248258541,0.2883476282992939,0.1440553475809126,0.245320570534995,3.9346181818181822,72270.0,69.05465288035451,AI generating articles previously written by staff writers
Sports Illustrated,Media and Publishing,2024,2,True,Explicit,Explicit,AI-generated content replacing human editorial staff,Sports Illustrated editorial cuts January 2024; AI bylines discovered,Editor,27-3041,150,1.128221,Q4 (Highest),0.2299694694281706,0.2749401765822262,0.1493522567868636,0.2270814423632313,4.921018181818182,75260.0,71.27031019202363,Editorial oversight reduced as AI content scales
Washington Post,Media and Publishing,2024,2,False,None,None,Declining revenue and readership challenges,Washington Post buyout offer October 2024,News Analyst and Reporter,27-3021,150,1.163517,Q4 (Highest),,,,,,,,Newsroom reduction - revenue cited; AI tools also deployed
Washington Post,Media and Publishing,2024,2,False,None,None,Declining revenue and readership challenges,Washington Post buyout offer October 2024,Editor,27-3041,90,1.128221,Q4 (Highest),0.2299694694281706,0.2749401765822262,0.1493522567868636,0.2270814423632313,4.921018181818182,75260.0,71.27031019202363,Editorial layer reduction
BT Group,Telecommunications,2023-2030,2,True,Explicit,Explicit,AI and modernisation of our network will mean we need a smaller workforce,Philip Jansen CEO BT Annual Results May 2023,Customer Service Representative,43-4051,25000,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,AI chatbots handling increasing share of customer interactions
BT Group,Telecommunications,2023-2030,2,True,Explicit,Explicit,AI and modernisation of our network will mean we need a smaller workforce,Philip Jansen CEO BT Annual Results May 2023,Network Operations Technician,17-2071,15000,1.126725,Q4 (Highest),0.249266022198353,0.2421768707482993,0.1746509129967776,0.2229144289294665,4.662836363636364,111910.0,91.94977843426884,Network automation reducing manual monitoring requirements
BT Group,Telecommunications,2023-2030,2,True,Explicit,Explicit,AI and modernisation of our network will mean we need a smaller workforce,Philip Jansen CEO BT Annual Results May 2023,Administrative Support,43-6014,15000,1.099056,Q4 (Highest),0.2360938333037142,0.2882530655766838,0.1731828683134885,0.2057934956459925,2.7310094645828222,46290.0,26.73559822747415,Back-office consolidation via AI tools
Optum / UnitedHealth,Healthcare Administration,2024,2,True,Implicit,Implicit,AI automation of prior authorization and claims review,UnitedHealth Group workforce and technology disclosures 2024,Medical Secretary and Admin Assistant,43-6013,2000,1.217982,Q4 (Highest),0.2362704604558665,0.2979195349548723,0.1642955484167049,0.1974912039161694,2.4169416941694166,44640.0,22.304283604135893,AI handles prior authorization workflows previously done manually
Optum / UnitedHealth,Healthcare Administration,2024,2,True,Implicit,Implicit,AI automation of prior authorization and claims review,UnitedHealth Group workforce and technology disclosures 2024,Insurance Claims Processor,43-9041,2000,1.240201,Q4 (Highest),0.2572270300128889,0.2911066102006996,0.1487755477812557,0.2037378015098508,2.567720408404476,48450.0,33.197932053175776,Claims adjudication increasingly automated via AI review
Duolingo,Education Technology,2024,2,True,Explicit,Explicit,We can do more with fewer contractors because of AI,Duolingo press release January 2024,Content Writer,27-3043,300,0.9879274,Q3,0.2199687248258541,0.2883476282992939,0.1440553475809126,0.245320570534995,3.9346181818181822,72270.0,69.05465288035451,AI generates lesson content previously created by human contractors
Duolingo,Education Technology,2024,2,True,Explicit,Explicit,We can do more with fewer contractors because of AI,Duolingo press release January 2024,Instructional Designer,25-9031,200,1.301855,Q4 (Highest),0.2311991869918699,0.2887630662020906,0.1432200929152148,0.2345383275261324,5.8719491687194925,74720.0,70.86410635155096,Curriculum design AI-assisted
Salesforce,Enterprise Software,2023,2,True,Explicit,Explicit,We need to operate more efficiently,Marc Benioff memo January 2023; Einstein GPT announced same quarter,Sales Operations Specialist,41-3091,3500,,Unknown,,,,,,,,Einstein AI automates pipeline management and forecasting
Salesforce,Enterprise Software,2023,2,True,Explicit,Explicit,We need to operate more efficiently,Marc Benioff memo January 2023; Einstein GPT announced same quarter,Customer Success Manager,11-2021,2500,1.315032,Q4 (Highest),0.2076436036310931,0.3097871691204515,0.1279273781371576,0.2447936532153482,5.131272727272727,161030.0,98.3751846381093,AI reduces headcount needed per account
Salesforce,Enterprise Software,2023,2,True,Explicit,Explicit,We need to operate more efficiently,Marc Benioff memo January 2023; Einstein GPT announced same quarter,Marketing Analyst,13-1161,2000,1.426757,Q4 (Highest),0.2457692604899157,0.2624603971872343,0.1232516807047368,0.2362259485356618,4.573057710750827,76950.0,72.41506646971935,Marketing Cloud AI handles campaign optimization
