scenario,policy,quarter,year,employment_rate,employed,displaced,reskilling,transitioned
Conservative,US Baseline,1,0.25,99.992,49996,4,0,0
Conservative,US Baseline,2,0.5,99.97,49985,15,0,0
Conservative,US Baseline,3,0.75,99.958,49979,21,0,0
Conservative,US Baseline,4,1.0,99.92999999999999,49965,34,1,0
Conservative,US Baseline,5,1.25,99.89,49945,53,2,0
Conservative,US Baseline,6,1.5,99.846,49922,75,2,1
Conservative,US Baseline,7,1.75,99.802,49899,95,4,2
Conservative,US Baseline,8,2.0,99.752,49873,118,6,3
Conservative,US Baseline,9,2.25,99.67200000000001,49830,159,5,6
Conservative,US Baseline,10,2.5,99.60799999999999,49797,187,9,7
Conservative,US Baseline,11,2.75,99.524,49752,226,12,10
Conservative,US Baseline,12,3.0,99.44800000000001,49713,261,15,11
Conservative,US Baseline,13,3.25,99.374,49670,302,11,17
Conservative,US Baseline,14,3.5,99.29599999999999,49627,338,14,21
Conservative,US Baseline,15,3.75,99.222,49585,368,21,26
Conservative,US Baseline,16,4.0,99.142,49541,399,30,30
Conservative,US Baseline,17,4.25,99.06,49494,444,26,36
Conservative,US Baseline,18,4.5,98.956,49431,492,30,47
Conservative,US Baseline,19,4.75,98.854,49372,539,34,55
Conservative,US Baseline,20,5.0,98.758,49313,588,33,66
Conservative,US Baseline,21,5.25,98.652,49246,642,32,80
Conservative,US Baseline,22,5.5,98.59,49204,669,36,91
Conservative,US Baseline,23,5.75,98.488,49143,715,41,101
Conservative,US Baseline,24,6.0,98.386,49082,759,48,111
Conservative,US Baseline,25,6.25,98.29599999999999,49024,795,57,124
Conservative,US Baseline,26,6.5,98.22,48970,833,57,140
Conservative,US Baseline,27,6.75,98.176,48922,862,50,166
Conservative,US Baseline,28,7.0,98.114,48876,888,55,181
Conservative,US Baseline,29,7.25,98.048,48826,913,63,198
Conservative,US Baseline,30,7.5,97.966,48769,945,72,214
Conservative,US Baseline,31,7.75,97.932,48731,952,82,235
Conservative,US Baseline,32,8.0,97.86200000000001,48673,983,86,258
Conservative,US Baseline,33,8.25,97.87,48643,990,75,292
Conservative,US Baseline,34,8.5,97.842,48600,1011,68,321
Conservative,US Baseline,35,8.75,97.788,48546,1037,69,348
Conservative,US Baseline,36,9.0,97.72999999999999,48491,1070,65,374
Conservative,US Baseline,37,9.25,97.71600000000001,48466,1062,80,392
Conservative,US Baseline,38,9.5,97.666,48425,1081,86,408
Conservative,US Baseline,39,9.75,97.596,48362,1128,74,436
Conservative,US Baseline,40,10.0,97.516,48301,1162,80,457
Conservative,US Baseline,41,10.25,97.48599999999999,48256,1188,69,487
Conservative,US Baseline,42,10.5,97.44,48203,1212,68,517
Conservative,US Baseline,43,10.75,97.402,48175,1208,91,526
Conservative,US Baseline,44,11.0,97.37400000000001,48138,1223,90,549
Conservative,US Baseline,45,11.25,97.346,48088,1245,82,585
Conservative,US Baseline,46,11.5,97.276,48031,1277,85,607
Conservative,US Baseline,47,11.75,97.26599999999999,47997,1277,90,636
Conservative,US Baseline,48,12.0,97.25,47972,1290,85,653
Conservative,Denmark,1,0.25,99.996,49998,2,0,0
Conservative,Denmark,2,0.5,99.984,49992,8,0,0
Conservative,Denmark,3,0.75,99.966,49983,17,0,0
Conservative,Denmark,4,1.0,99.942,49971,29,0,0
Conservative,Denmark,5,1.25,99.91799999999999,49959,39,2,0
Conservative,Denmark,6,1.5,99.88,49940,57,3,0
Conservative,Denmark,7,1.75,99.848,49924,65,11,0
Conservative,Denmark,8,2.0,99.79400000000001,49894,87,16,3
Conservative,Denmark,9,2.25,99.77000000000001,49878,94,21,7
Conservative,Denmark,10,2.5,99.736,49854,113,19,14
Conservative,Denmark,11,2.75,99.688,49826,132,24,18
Conservative,Denmark,12,3.0,99.658,49805,145,26,24
Conservative,Denmark,13,3.25,99.6,49763,171,29,37
Conservative,Denmark,14,3.5,99.532,49726,185,49,40
Conservative,Denmark,15,3.75,99.47,49684,212,53,51
Conservative,Denmark,16,4.0,99.426,49647,225,62,66
Conservative,Denmark,17,4.25,99.382,49607,244,65,84
Conservative,Denmark,18,4.5,99.344,49566,247,81,106
Conservative,Denmark,19,4.75,99.286,49523,266,91,120
Conservative,Denmark,20,5.0,99.252,49480,279,95,146
Conservative,Denmark,21,5.25,99.182,49413,316,93,178
Conservative,Denmark,22,5.5,99.17399999999999,49378,320,93,209
Conservative,Denmark,23,5.75,99.134,49327,340,93,240
Conservative,Denmark,24,6.0,99.104,49284,346,102,268
Conservative,Denmark,25,6.25,99.084,49248,338,120,294
Conservative,Denmark,26,6.5,99.078,49215,325,136,324
Conservative,Denmark,27,6.75,99.07000000000001,49174,316,149,361
Conservative,Denmark,28,7.0,99.142,49156,298,131,415
Conservative,Denmark,29,7.25,99.17,49120,298,117,465
Conservative,Denmark,30,7.5,99.18400000000001,49078,306,102,514
Conservative,Denmark,31,7.75,99.156,49030,322,100,548
Conservative,Denmark,32,8.0,99.118,48982,341,100,577
Conservative,Denmark,33,8.25,99.10799999999999,48943,344,102,611
Conservative,Denmark,34,8.5,99.064,48891,366,102,641
Conservative,Denmark,35,8.75,98.99799999999999,48825,386,115,674
Conservative,Denmark,36,9.0,98.966,48776,391,126,707
Conservative,Denmark,37,9.25,98.988,48749,367,139,745
Conservative,Denmark,38,9.5,99.00999999999999,48724,361,134,781
Conservative,Denmark,39,9.75,99.024,48683,373,115,829
Conservative,Denmark,40,10.0,99.032,48651,366,118,865
Conservative,Denmark,41,10.25,99.05199999999999,48627,345,129,899
Conservative,Denmark,42,10.5,99.09400000000001,48610,334,119,937
Conservative,Denmark,43,10.75,99.07000000000001,48567,349,116,968
Conservative,Denmark,44,11.0,99.062,48525,354,115,1006
Conservative,Denmark,45,11.25,99.046,48488,352,125,1035
Conservative,Denmark,46,11.5,99.034,48449,364,119,1068
Conservative,Denmark,47,11.75,99.03999999999999,48408,360,120,1112
Conservative,Denmark,48,12.0,99.018,48364,375,116,1145
Conservative,Germany,1,0.25,99.996,49998,2,0,0
Conservative,Germany,2,0.5,99.988,49994,6,0,0
Conservative,Germany,3,0.75,99.97200000000001,49986,13,1,0
Conservative,Germany,4,1.0,99.966,49983,16,1,0
Conservative,Germany,5,1.25,99.95,49974,24,1,1
Conservative,Germany,6,1.5,99.914,49956,42,1,1
Conservative,Germany,7,1.75,99.88,49938,58,2,2
Conservative,Germany,8,2.0,99.82600000000001,49911,81,6,2
Conservative,Germany,9,2.25,99.798,49896,89,12,3
Conservative,Germany,10,2.5,99.766,49877,99,18,6
Conservative,Germany,11,2.75,99.74199999999999,49861,110,19,10
Conservative,Germany,12,3.0,99.70599999999999,49836,127,20,17
Conservative,Germany,13,3.25,99.68,49812,145,15,28
Conservative,Germany,14,3.5,99.66199999999999,49796,157,12,35
Conservative,Germany,15,3.75,99.614,49769,174,19,38
Conservative,Germany,16,4.0,99.542,49729,200,29,42
Conservative,Germany,17,4.25,99.502,49702,219,30,49
Conservative,Germany,18,4.5,99.47200000000001,49676,229,35,60
Conservative,Germany,19,4.75,99.44800000000001,49653,238,38,71
Conservative,Germany,20,5.0,99.408,49619,256,40,85
Conservative,Germany,21,5.25,99.33999999999999,49578,278,52,92
Conservative,Germany,22,5.5,99.32,49552,284,56,108
Conservative,Germany,23,5.75,99.292,49515,300,54,131
Conservative,Germany,24,6.0,99.264,49485,314,54,147
Conservative,Germany,25,6.25,99.22800000000001,49450,330,56,164
Conservative,Germany,26,6.5,99.21600000000001,49426,341,51,182
Conservative,Germany,27,6.75,99.21,49405,341,54,200
Conservative,Germany,28,7.0,99.17399999999999,49375,355,58,212
Conservative,Germany,29,7.25,99.166,49352,358,59,231
Conservative,Germany,30,7.5,99.156,49327,359,63,251
Conservative,Germany,31,7.75,99.11,49283,388,57,272
Conservative,Germany,32,8.0,99.112,49258,387,57,298
Conservative,Germany,33,8.25,99.092,49230,400,54,316
Conservative,Germany,34,8.5,99.086,49211,402,55,332
Conservative,Germany,35,8.75,99.026,49169,424,63,344
Conservative,Germany,36,9.0,99.02,49146,422,68,364
Conservative,Germany,37,9.25,99.014,49119,427,66,388
Conservative,Germany,38,9.5,99.006,49097,423,74,406
Conservative,Germany,39,9.75,99.00999999999999,49080,414,81,425
Conservative,Germany,40,10.0,99.00999999999999,49051,419,76,454
Conservative,Germany,41,10.25,98.99,49023,429,76,472
Conservative,Germany,42,10.5,98.99799999999999,49003,430,71,496
Conservative,Germany,43,10.75,98.996,48980,427,75,518
Conservative,Germany,44,11.0,98.982,48949,435,74,542
Conservative,Germany,45,11.25,98.99,48928,424,81,567
Conservative,Germany,46,11.5,98.956,48893,436,86,585
Conservative,Germany,47,11.75,98.98,48871,433,77,619
Conservative,Germany,48,12.0,98.978,48843,439,72,646
Conservative,Singapore,1,0.25,99.996,49998,2,0,0
Conservative,Singapore,2,0.5,99.984,49992,8,0,0
Conservative,Singapore,3,0.75,99.966,49983,17,0,0
Conservative,Singapore,4,1.0,99.942,49971,29,0,0
Conservative,Singapore,5,1.25,99.91799999999999,49959,39,2,0
Conservative,Singapore,6,1.5,99.88,49940,57,3,0
Conservative,Singapore,7,1.75,99.83800000000001,49919,72,9,0
Conservative,Singapore,8,2.0,99.79599999999999,49895,91,11,3
Conservative,Singapore,9,2.25,99.746,49867,111,16,6
Conservative,Singapore,10,2.5,99.694,49835,139,14,12
Conservative,Singapore,11,2.75,99.642,49804,162,17,17
Conservative,Singapore,12,3.0,99.58399999999999,49772,186,22,20
Conservative,Singapore,13,3.25,99.528,49737,204,32,27
Conservative,Singapore,14,3.5,99.49799999999999,49712,215,36,37
Conservative,Singapore,15,3.75,99.414,49662,246,47,45
Conservative,Singapore,16,4.0,99.356,49619,273,49,59
Conservative,Singapore,17,4.25,99.304,49581,289,59,71
Conservative,Singapore,18,4.5,99.268,49546,305,61,88
Conservative,Singapore,19,4.75,99.21600000000001,49500,327,65,108
Conservative,Singapore,20,5.0,99.17399999999999,49459,343,70,128
Conservative,Singapore,21,5.25,99.072,49385,387,77,151
Conservative,Singapore,22,5.5,99.034,49343,393,90,174
Conservative,Singapore,23,5.75,99.0,49295,410,90,205
Conservative,Singapore,24,6.0,98.99799999999999,49263,405,96,236
Conservative,Singapore,25,6.25,98.98400000000001,49231,404,104,261
Conservative,Singapore,26,6.5,98.97399999999999,49189,414,99,298
Conservative,Singapore,27,6.75,98.936,49139,437,95,329
Conservative,Singapore,28,7.0,98.91799999999999,49100,431,110,359
Conservative,Singapore,29,7.25,98.914,49063,437,106,394
Conservative,Singapore,30,7.5,98.88,49015,450,110,425
Conservative,Singapore,31,7.75,98.846,48970,466,111,453
Conservative,Singapore,32,8.0,98.83999999999999,48928,472,108,492
Conservative,Singapore,33,8.25,98.856,48901,465,107,527
Conservative,Singapore,34,8.5,98.82600000000001,48853,489,98,560
Conservative,Singapore,35,8.75,98.81400000000001,48813,501,92,594
Conservative,Singapore,36,9.0,98.776,48771,516,96,617
Conservative,Singapore,37,9.25,98.774,48741,504,109,646
Conservative,Singapore,38,9.5,98.776,48706,507,105,682
Conservative,Singapore,39,9.75,98.79400000000001,48679,502,101,718
Conservative,Singapore,40,10.0,98.778,48644,496,115,745
Conservative,Singapore,41,10.25,98.72999999999999,48590,510,125,775
Conservative,Singapore,42,10.5,98.77,48570,494,121,815
Conservative,Singapore,43,10.75,98.788,48541,495,111,853
Conservative,Singapore,44,11.0,98.78,48506,497,113,884
Conservative,Singapore,45,11.25,98.792,48474,501,103,922
Conservative,Singapore,46,11.5,98.738,48420,529,102,949
Conservative,Singapore,47,11.75,98.74000000000001,48399,528,102,971
Conservative,Singapore,48,12.0,98.722,48365,534,105,996
Moderate,US Baseline,1,0.25,99.99,49995,5,0,0
Moderate,US Baseline,2,0.5,99.97200000000001,49986,14,0,0
Moderate,US Baseline,3,0.75,99.946,49973,27,0,0
Moderate,US Baseline,4,1.0,99.908,49954,45,1,0
Moderate,US Baseline,5,1.25,99.842,49921,77,2,0
Moderate,US Baseline,6,1.5,99.76,49880,118,2,0
Moderate,US Baseline,7,1.75,99.654,49825,172,1,2
Moderate,US Baseline,8,2.0,99.53999999999999,49768,226,4,2
Moderate,US Baseline,9,2.25,99.424,49709,284,4,3
Moderate,US Baseline,10,2.5,99.328,49659,325,11,5
Moderate,US Baseline,11,2.75,99.20400000000001,49597,379,19,5
Moderate,US Baseline,12,3.0,99.044,49510,460,18,12
Moderate,US Baseline,13,3.25,98.916,49440,517,25,18
Moderate,US Baseline,14,3.5,98.78,49366,580,30,24
Moderate,US Baseline,15,3.75,98.654,49293,638,35,34
Moderate,US Baseline,16,4.0,98.49,49200,718,37,45
Moderate,US Baseline,17,4.25,98.35199999999999,49120,776,48,56
Moderate,US Baseline,18,4.5,98.198,49025,857,44,74
Moderate,US Baseline,19,4.75,98.046,48929,931,46,94
Moderate,US Baseline,20,5.0,97.84,48817,1013,67,103
Moderate,US Baseline,21,5.25,97.654,48702,1107,66,125
Moderate,US Baseline,22,5.5,97.52,48616,1165,75,144
Moderate,US Baseline,23,5.75,97.378,48520,1243,68,169
Moderate,US Baseline,24,6.0,97.208,48408,1328,68,196
Moderate,US Baseline,25,6.25,97.044,48299,1403,75,223
Moderate,US Baseline,26,6.5,96.902,48206,1465,84,245
Moderate,US Baseline,27,6.75,96.736,48103,1526,106,265
Moderate,US Baseline,28,7.0,96.66,48026,1568,102,304
Moderate,US Baseline,29,7.25,96.574,47941,1618,95,346
Moderate,US Baseline,30,7.5,96.45,47844,1678,97,381
Moderate,US Baseline,31,7.75,96.342,47762,1720,109,409
Moderate,US Baseline,32,8.0,96.222,47674,1780,109,437
Moderate,US Baseline,33,8.25,96.17599999999999,47613,1792,120,475
Moderate,US Baseline,34,8.5,96.044,47513,1851,127,509
Moderate,US Baseline,35,8.75,95.96000000000001,47428,1897,123,552
Moderate,US Baseline,36,9.0,95.87599999999999,47345,1945,117,593
Moderate,US Baseline,37,9.25,95.866,47289,1952,115,644
Moderate,US Baseline,38,9.5,95.818,47220,1988,103,689
Moderate,US Baseline,39,9.75,95.72800000000001,47147,2008,128,717
Moderate,US Baseline,40,10.0,95.662,47085,2025,144,746
Moderate,US Baseline,41,10.25,95.614,47003,2049,144,804
Moderate,US Baseline,42,10.5,95.568,46940,2049,167,844
Moderate,US Baseline,43,10.75,95.5,46863,2087,163,887
Moderate,US Baseline,44,11.0,95.41,46762,2132,163,943
Moderate,US Baseline,45,11.25,95.348,46682,2158,168,992
Moderate,US Baseline,46,11.5,95.30999999999999,46603,2184,161,1052
Moderate,US Baseline,47,11.75,95.324,46554,2182,156,1108
Moderate,US Baseline,48,12.0,95.272,46474,2216,148,1162
Moderate,Denmark,1,0.25,99.992,49996,4,0,0
Moderate,Denmark,2,0.5,99.966,49983,16,1,0
Moderate,Denmark,3,0.75,99.94800000000001,49974,24,2,0
Moderate,Denmark,4,1.0,99.90400000000001,49951,42,6,1
Moderate,Denmark,5,1.25,99.864,49931,52,16,1
Moderate,Denmark,6,1.5,99.78200000000001,49888,90,19,3
Moderate,Denmark,7,1.75,99.726,49855,120,17,8
Moderate,Denmark,8,2.0,99.654,49811,148,25,16
Moderate,Denmark,9,2.25,99.578,49771,169,42,18
Moderate,Denmark,10,2.5,99.508,49722,189,57,32
Moderate,Denmark,11,2.75,99.41799999999999,49668,222,69,41
Moderate,Denmark,12,3.0,99.36399999999999,49616,246,72,66
Moderate,Denmark,13,3.25,99.286,49555,275,82,88
Moderate,Denmark,14,3.5,99.232,49498,295,89,118
Moderate,Denmark,15,3.75,99.134,49424,330,103,143
Moderate,Denmark,16,4.0,99.044,49354,368,110,168
Moderate,Denmark,17,4.25,98.97399999999999,49281,387,126,206
Moderate,Denmark,18,4.5,98.914,49213,396,147,244
Moderate,Denmark,19,4.75,98.888,49154,406,150,290
Moderate,Denmark,20,5.0,98.834,49075,436,147,342
Moderate,Denmark,21,5.25,98.746,48978,487,140,395
Moderate,Denmark,22,5.5,98.70400000000001,48908,498,150,444
Moderate,Denmark,23,5.75,98.634,48835,524,159,482
Moderate,Denmark,24,6.0,98.566,48757,556,161,526
Moderate,Denmark,25,6.25,98.55000000000001,48692,562,163,583
Moderate,Denmark,26,6.5,98.478,48613,558,203,626
Moderate,Denmark,27,6.75,98.496,48557,558,194,691
Moderate,Denmark,28,7.0,98.526,48501,567,170,762
Moderate,Denmark,29,7.25,98.48599999999999,48418,581,176,825
Moderate,Denmark,30,7.5,98.412,48341,599,195,865
Moderate,Denmark,31,7.75,98.39,48268,604,201,927
Moderate,Denmark,32,8.0,98.346,48182,617,210,991
Moderate,Denmark,33,8.25,98.356,48126,614,208,1052
Moderate,Denmark,34,8.5,98.332,48055,619,215,1111
Moderate,Denmark,35,8.75,98.282,47962,657,202,1179
Moderate,Denmark,36,9.0,98.294,47900,647,206,1247
Moderate,Denmark,37,9.25,98.322,47854,625,214,1307
Moderate,Denmark,38,9.5,98.294,47783,628,225,1364
Moderate,Denmark,39,9.75,98.328,47738,596,240,1426
Moderate,Denmark,40,10.0,98.334,47675,598,235,1492
Moderate,Denmark,41,10.25,98.344,47602,602,226,1570
Moderate,Denmark,42,10.5,98.346,47538,611,216,1635
